Provinsi,Kab/Kota,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Rata-rata Lama Sekolah Penduduk 15+ (Tahun),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun),Indeks Pembangunan Manusia,Umur Harapan Hidup (Tahun),Persentase rumah tangga yang memiliki akses terhadap sanitasi layak,Persentase rumah tangga yang memiliki akses terhadap air minum layak,Tingkat Pengangguran Terbuka,Tingkat Partisipasi Angkatan Kerja,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah)
ACEH,Simeulue,"18,98",9,7148,"66,41",65,"71,56","87,45","5,71"," 71,15 ",1648096.0
ACEH,Aceh Singkil,"20,36",9,8776,"69,22",67,"69,56","78,58","8,36"," 62,85 ",1780419.0
ACEH,Aceh Selatan,"13,18",9,8180,"67,44",64,"62,55","79,65","6,46"," 60,85 ",4345784.0
ACEH,Aceh Tenggara,"13,41",10,8030,"69,44",68,"62,71","86,71","6,43"," 69,62 ",3487157.0
ACEH,Aceh Timur,"14,45",8,8577,"67,83",69,"66,75","83,16","7,13"," 59,48 ",8433526.0
ACEH,Aceh Tengah,"15,26",10,10780,"73,37",69,"90,58","90,10","2,61"," 76,30 ",5953118.0
ACEH,Aceh Barat,"18,81",10,9593,"71,67",68,"89,60","94,22","7,09"," 60,05 ",7485861.0
ACEH,Aceh Besar,"14,05",10,9644,"73,58",70,"87,40","82,36","7,70"," 61,67 ",10261585.0
ACEH,Pidie,"19,59",9,9860,"70,7",67,"54,10","89,24","7,28"," 60,29 ",7975099.0
ACEH,Bireuen,"13,25",9,8867,"72,33",71,"81,89","93,53","4,32"," 65,91 ",10374480.0
ACEH,Aceh Utara,"17,43",9,8201,"69,46",69,"79,97","91,09","8,31"," 58,47 ",16924103.0
ACEH,Aceh Barat Daya,"16,34",9,8428,"66,99",65,"65,71","95,34","4,04"," 57,91 ",3069805.0
ACEH,Gayo Lues,"19,64",8,8856,"67,56",66,"47,63","84,68","1,84"," 78,99 ",1981879.0
ACEH,Aceh Tamiang,"13,34",9,8367,"69,48",70,"87,45","83,12","5,87"," 66,43 ",6062520.0
ACEH,Nagan Raya,"18,23",9,8292,"69,31",69,"74,86","90,13","4,99"," 64,99 ",7110421.0
ACEH,Aceh Jaya,"13,23",9,9666,"69,84",67,"81,60","86,36","3,47"," 72,59 ",2033844.0
ACEH,Bener Meriah,"19,16",10,11118,"73,27",69,"86,69","89,71","1,24"," 77,53 ",3744095.0
ACEH,Pidie Jaya,"19,55",9,10290,"73,6",70,"74,30","93,46","3,57"," 57,77 ",2635517.0
ACEH,Kota Banda Aceh,"7,61",13,16891,"85,71",72,"99,88","99,37","8,94"," 63,00 ",15454371.0
ACEH,Kota Sabang,"15,32",11,11378,"76,11",71,"92,25","96,18","3,56"," 63,71 ",1152875.0
ACEH,Kota Langsa,"10,96",11,12067,"77,44",69,"91,81","97,14","7,21"," 67,04 ",3974614.0
ACEH,Kota Lhokseumawe,"11,16",11,11390,"77,57",72,"93,10","94,44","11,16"," 63,91 ",7252905.0
ACEH,Kota Subulussalam,"17,65",8,7385,"65,27",64,"69,71","60,87","6,26"," 63,78 ",1438997.0
SUMATERA UTARA,Nias,"16,82",6,6995,"62,74",70,"19,93","47,79","3,12"," 81,79 ",2666855.0
SUMATERA UTARA,Mandailing Natal,"9,49",9,9771,"67,19",63,"35,73","73,78","6,12"," 69,79 ",9585899.0
SUMATERA UTARA,Tapanuli Selatan,"8,8",9,11304,"70,33",65,"46,41","67,39","4,00"," 74,38 ",10036712.0
SUMATERA UTARA,Tapanuli Tengah,"12,67",9,10138,"69,61",67,"57,56","68,81","7,24"," 75,05 ",7149285.0
SUMATERA UTARA,Tapanuli Utara,"9,72",10,11710,"73,76",69,"83,79","89,06","1,54"," 82,63 ",6058350.0
SUMATERA UTARA,Toba Samosir,"8,99",11,12224,"75,39",70,"89,54","95,04","0,83"," 80,38 ",5649103.0
SUMATERA UTARA,Labuhan Batu,"8,74",9,11212,"72,09",70,"81,50","94,34","5,66"," 61,84 ",24147560.0
SUMATERA UTARA,Asahan,"9,35",9,11030,"70,49",68,"89,09","95,78","6,39"," 63,02 ",27279586.0
SUMATERA UTARA,Simalungun,"8,81",10,11376,"73,4",71,"91,75","99,74","4,17"," 72,55 ",28648781.0
SUMATERA UTARA,Dairi,"8,31",10,10504,"71,84",69,"92,35","91,90","1,49"," 85,73 ",6641674.0
SUMATERA UTARA,Karo,"8,79",10,12412,"74,83",72,"84,33","91,43","1,95"," 84,56 ",14582333.0
SUMATERA UTARA,Deli Serdang,"4,01",10,12291,"75,53",72,"96,37","98,18","9,13"," 66,78 ",72173623.0
SUMATERA UTARA,Langkat,"10,12",9,11142,"71,35",69,"80,76","92,51","5,12"," 69,12 ",30247389.0
SUMATERA UTARA,Nias Selatan,"16,92",6,7041,"62,35",69,"13,14","66,21","3,91"," 72,25 ",4332626.0
SUMATERA UTARA,Humbang Hasundutan,"9,65",10,8016,"69,41",70,"91,65","91,95","1,94"," 84,17 ",4219138.0
SUMATERA UTARA,Pakpak Bharat,"9,35",9,8254,"67,94",66,"90,14","70,69","1,36"," 87,70 ",872403.0
SUMATERA UTARA,Samosir,"12,68",9,8504,"70,83",71,"91,09","65,64","0,70"," 84,38 ",3162101.0
SUMATERA UTARA,Serdang Bedagai,"8,3",9,11017,"70,56",69,"93,19","98,14","3,93"," 66,75 ",19863243.0
SUMATERA UTARA,Batu Bara,"12,38",8,10539,"68,58",67,"88,04","97,83","6,62"," 70,00 ",24486056.0
SUMATERA UTARA,Padang Lawas Utara,"9,92",9,10055,"70,11",67,"67,17","77,58","3,19"," 76,82 ",8593639.0
SUMATERA UTARA,Padang Lawas,"8,69",9,8921,"68,64",67,"59,62","77,84","4,07"," 75,23 ",8362135.0
SUMATERA UTARA,Labuhan Batu Selatan,"8,53",9,11562,"71,69",69,"84,85","84,66","4,71"," 66,38 ",19620408.0
SUMATERA UTARA,Labuhan Batu Utara,"10,02",8,11840,"71,87",70,"79,75","86,75","5,74"," 65,73 ",17969257.0
SUMATERA UTARA,Nias Utara,"25,66",7,6155,"62,82",70,"46,09","58,17","3,00"," 74,27 ",2417196.0
SUMATERA UTARA,Nias Barat,"26,42",7,5924,"61,99",69,"38,02","71,52","0,74"," 82,08 ",1285664.0
SUMATERA UTARA,Kota Sibolga,"12,33",10,11540,"73,94",69,"32,33","92,40","8,72"," 71,19 ",3595704.0
SUMATERA UTARA,Kota Tanjung Balai,"13,4",9,11225,"68,94",63,"89,07","87,20","6,59"," 66,57 ",5898808.0
SUMATERA UTARA,Kota Pematang Siantar,"8,52",11,12436,"79,17",74,"88,49","99,78","11,00"," 68,80 ",9547698.0
